Domain,BL,DP,ABY,ACR,Dmoz,C,N,O,D,Reg,RDT,Traffic,Valuation,Price,Bids,Endtime
RecessFramework.org,3.2 K,391,2008,322,-,available,available,registered,available,1,3,56,422 USD,75 USD,15,4h 19m
jovr.org,4.2 K,355,2011,89,-,registered,registered,registered,available,8,40,278,855 USD,160 USD,15,6h 7m
aep.org,1.7 K,63,-,0,-,registered,registered,registered,registered,141,0,0,"7,495 USD","1,094 USD",14,7h 4m
TinyHomesCanada.com,82,2,2015,58,-,registered,available,available,available,2,2,62,"1,233 USD",250 USD,14,7h 6m
PathwayCenter.com,72,5,2003,128,-,registered,registered,registered,available,3,15,374,"2,225 USD",525 USD,13,3h 49m
tgcdn.net,2.2 K,83,2013,4,-,registered,registered,available,available,8,11,7,211 USD,80 USD,13,3h 55m
hixf.com,2,0,2006,22,-,registered,available,available,available,3,51,0,"1,987 USD",110 USD,13,4h 10m
PipesApp.com,244,16,2014,162,-,registered,available,available,available,1,5,42,"1,264 USD",85 USD,13,7h 49m
SometimeSitIsLupus.com,430,5,2011,201,-,registered,available,available,available,1,2,0,662 USD,510 USD,13,8h 54m
PositiveKids.com,606,20,2001,29,-,registered,registered,registered,registered,11,44,4,"3,780 USD",455 USD,13,8h 58m
freevpn.net,0,0,2010,40,-,registered,registered,registered,registered,113,336,0,"4,635 USD",110 USD,12,4h 41m
CatParty.com,2,1,2003,32,-,registered,registered,registered,available,13,51,4,"3,252 USD",133 USD,12,5h 1m
VipFellowship.org,51,15,2013,456,-,available,available,registered,available,1,2,17,300 USD,205 USD,12,7h 5m
wfopublications.org,123,18,2013,28,-,available,available,registered,available,1,2,13,236 USD,205 USD,11,4h 53m
nanpp.org,93,11,2015,32,-,registered,available,registered,available,3,14,17,913 USD,332 USD,11,6h 40m
vloq.com,0,0,2012,24,-,registered,registered,registered,available,5,18,4,"1,836 USD",135 USD,11,6h 54m
ApacheToolbox.com,4.1 K,117,2000,453,-,registered,available,available,available,1,2,35,"1,105 USD",105 USD,11,7h 19m
blwer05.com,11,6,2021,11,-,registered,available,available,available,1,2,3.6 K,0 USD,180 USD,11,8h 50m
InitiateSkateboarding.com,21,1,2014,29,-,registered,registered,available,available,1,2,109,779 USD,100 USD,10,5h 34m
darbysmpls.com,256,21,2011,135,-,registered,registered,available,available,3,4,0,"1,270 USD",215 USD,10,5h 44m
rctruckstop.com,459,33,2011,153,-,registered,available,available,available,1,3,525,"1,264 USD",85 USD,10,6h 29m
kwikkarofflowermound.com,317,4,2018,25,-,registered,available,available,available,1,2,0,80 USD,255 USD,10,8h 9m
cnjc-bsa.org,334,48,-,0,Yes,available,available,registered,available,1,0,180,0 USD,355 USD,9,4h 14m
jrthousing.org,101,18,2015,34,-,available,available,registered,available,1,2,46,352 USD,86 USD,9,4h 31m
SaltmarshBrew.com,99,19,2016,39,-,registered,available,available,available,1,3,52,"1,067 USD",125 USD,9,5h 11m
qualityautosalesct.com,5,0,2012,65,-,registered,available,available,available,1,2,169,499 USD,71 USD,9,5h 22m
ShorthandOnline.com,1.8 K,19,-,0,-,registered,available,available,available,2,2,102,"1,244 USD",65 USD,9,6h 8m
Green-Airlines.com,271,32,2020,48,-,registered,registered,available,registered,8,6,0,"1,370 USD",205 USD,9,7h 29m
BioLifeTechnologies.com,355,18,2007,322,-,registered,available,available,available,1,2,216,"1,350 USD",75 USD,9,7h 43m
EasyRecipes105.com,23,1,2018,22,-,registered,available,available,available,1,2,2.1 K,327 USD,252 USD,9,8h 12m
OsakaJapanese.com,139,11,-,0,Yes,registered,available,available,available,2,27,141,"1,385 USD",130 USD,9,8h 19m
MachineToolSupplier.com,59,6,2004,132,-,registered,registered,registered,available,3,8,162,"1,482 USD",45 USD,8,4h 51m
PushKartCafe.com,9,0,2021,10,-,registered,available,available,available,1,2,756,733 USD,150 USD,8,5h 33m
ScrantonTaxi.com,26,0,2011,27,-,registered,available,available,available,1,2,130,"1,059 USD",150 USD,8,8h 47m
LookAtMyHorseMyHorseIsAmazing.com,1.1 K,254,2009,298,-,registered,available,available,available,1,2,61,9 USD,35 USD,7,3h 46m
337700.com,0,0,2013,7,-,registered,available,available,registered,4,26,0,"1,227 USD",45 USD,7,4h 1m
ProvidenceEconomicDevelopment.net,134,8,-,0,-,registered,registered,available,available,2,4,85,36 USD,45 USD,7,4h 3m
23448.com,0,0,2005,39,-,registered,registered,available,available,9,24,0,"1,541 USD",50 USD,7,4h 24m
AutismTopics.org,160,3,2015,83,-,registered,available,registered,available,2,4,558,403 USD,130 USD,7,4h 39m
cheesenchong.com,15,1,2013,29,-,registered,available,available,available,1,3,128,642 USD,110 USD,7,5h 10m
worcpt.com,74,38,2004,140,-,registered,available,available,available,1,2,46,"1,296 USD",205 USD,7,5h 47m
idancedb.com,335,34,-,0,-,registered,available,available,available,1,2,26,924 USD,45 USD,7,6h 20m
InlandAmerican.com,92,7,2007,146,-,registered,available,available,available,1,17,52,"1,407 USD",45 USD,7,6h 33m
arboretumobgyn.com,119,27,2006,108,-,registered,available,available,available,1,2,50,967 USD,40 USD,7,6h 53m
OnlySeries.net,751,11,2001,54,-,registered,registered,available,available,4,7,1.4 K,256 USD,104 USD,7,6h 58m
wildernessphotographycr.com,0,0,2019,3,-,registered,available,available,available,1,2,148,464 USD,54 USD,7,7h 0m
Silverback.net,0,0,1999,45,-,registered,registered,registered,registered,161,2.0 K,7,"2,962 USD",40 USD,7,7h 38m
ipcgame.com,0,0,2002,26,-,registered,registered,available,available,2,13,167,"1,438 USD",40 USD,7,7h 41m
TheExpertAutoRepair.com,21,2,2007,33,-,registered,registered,available,available,2,4,70,"1,350 USD",51 USD,7,7h 43m
MattHotchDesigns.com,33,3,2006,94,-,registered,available,available,available,1,2,172,83 USD,60 USD,7,7h 55m
AlternativeBristol.com,53.4 K,18,2014,103,-,registered,available,available,available,1,2,150,"1,081 USD",485 USD,7,8h 5m
TheNewSchoolCompetition.com,93,11,2012,122,-,registered,available,available,available,1,2,39,735 USD,45 USD,6,3h 47m
www-04622.com,267.3 K,12.9 K,-,0,-,registered,available,available,available,1,2,11,0 USD,27 USD,6,5h 45m
ShannaMccullough.com,90,9,2001,244,-,registered,registered,registered,available,3,6,67,"1,088 USD",30 USD,6,6h 53m
TechnicalIllustrator.com,0,0,2001,20,-,registered,registered,available,available,4,7,2,"2,996 USD",30 USD,6,7h 33m
SlutWear.com,0,0,-,0,-,registered,registered,available,registered,6,11,0,"2,801 USD",45 USD,6,7h 38m
bestoflockga.com,2,0,2021,2,-,registered,available,available,available,1,2,26,978 USD,30 USD,6,7h 41m
movietix.com,1,1,-,0,-,registered,registered,registered,registered,5,32,0,"3,365 USD",30 USD,6,7h 58m
OwnerFinancing.org,0,0,2002,28,-,registered,registered,registered,registered,19,207,2,"2,309 USD",38 USD,5,3h 50m
TravellersHotel.org,76,4,2009,72,-,registered,available,registered,available,3,12,20,"1,150 USD",45 USD,5,4h 2m
ColorMeNailsHairSpa.com,3,0,2021,2,-,registered,available,available,available,1,2,265,188 USD,149 USD,5,4h 11m
TropicalFishSecrets.com,36,4,2004,605,-,registered,available,available,available,1,2,7,957 USD,30 USD,5,4h 24m
OldTimeDiner.com,5,0,2021,5,-,registered,available,available,available,1,2,891,992 USD,297 USD,5,4h 25m
zycpw222.com,0,0,2022,1,-,registered,available,available,available,1,2,150,0 USD,80 USD,5,4h 34m
Magically.net,0,0,2003,21,-,registered,registered,registered,registered,33,490,0,"2,459 USD",45 USD,5,5h 8m
emainehosting.com,411,46,-,0,Yes,registered,available,available,available,1,2,0,256 USD,65 USD,5,5h 9m
OceanusIntl.com,0,1,2011,8,-,registered,available,available,available,1,2,124,783 USD,30 USD,5,5h 9m
rockypointsmokeandvape.com,34,2,2018,24,-,registered,available,available,available,1,2,135,335 USD,50 USD,5,5h 10m
NutPie.com,2,1,2003,122,-,registered,available,available,registered,5,14,15,"2,149 USD",74 USD,5,5h 10m
liveatmountainviewapts.com,4,0,2016,10,-,registered,available,available,available,1,2,156,29 USD,130 USD,5,5h 11m
5i5v.com,20,0,2010,19,-,registered,available,available,available,3,2,243,"1,076 USD",135 USD,5,6h 6m
HispaniaPost.com,52,0,2015,38,-,registered,available,available,available,1,2,222,979 USD,170 USD,5,6h 6m
globalluxuryimportsllc.com,411,11,2011,121,Yes,registered,available,available,available,1,2,30,428 USD,30 USD,5,6h 15m
modernqipao.com,175,2,2013,141,-,registered,available,available,available,1,2,256,"1,239 USD",135 USD,5,6h 18m
trasenta.com,0,0,2012,16,-,registered,available,available,available,1,4,4,"1,167 USD",41 USD,5,6h 27m
xamsadine.com,2.7 K,5,2006,246,-,registered,registered,available,available,2,4,261,"1,286 USD",135 USD,5,6h 29m
WhatsHappeningTampa.com,183,2,2005,180,-,registered,available,available,available,1,2,41,511 USD,35 USD,5,6h 41m
UnplannedAdmissionsCommittee.com,32,5,2018,8,-,registered,available,available,available,1,2,100,119 USD,65 USD,5,6h 51m
zycpw997.com,0,0,-,0,-,registered,available,available,available,1,2,141,0 USD,85 USD,5,6h 55m
fitasapro.com,76,17,2014,91,-,registered,registered,registered,available,4,10,0,"1,601 USD",85 USD,5,7h 8m
JapanBlogList.com,20.3 K,26,2007,530,-,registered,available,available,available,1,2,132,597 USD,355 USD,5,7h 17m
ChiangMailAnnaHouse.com,756,230,2008,190,-,registered,available,available,available,1,2,43,12 USD,40 USD,5,7h 24m
CreekNationCasino.net,112,12,2009,95,-,registered,registered,available,available,2,16,428,288 USD,135 USD,5,7h 39m
SmyrnaHomes.com,0,0,2000,39,-,registered,available,available,available,2,12,0,"2,086 USD",38 USD,5,7h 52m
ShopArmy.com,0,0,2001,23,-,registered,available,available,available,9,11,9,"2,221 USD",29 USD,5,8h 14m
attrecycle.com,17,2,2021,11,-,registered,available,available,available,1,10,63,"1,274 USD",50 USD,5,8h 14m
OfferLife.com,0,0,2011,18,-,registered,available,registered,available,6,9,0,"3,582 USD",85 USD,5,8h 28m
HotAndPublic.com,28,12,2013,115,-,registered,available,available,available,1,2,7.4 K,"1,227 USD",30 USD,5,8h 50m
zestuplms.com,5.5 K,475,-,0,-,registered,available,available,available,1,2,26,0 USD,25 USD,4,3h 36m
HomeGymSumo.com,179,14,2018,66,-,registered,available,available,available,1,2,0,851 USD,49 USD,4,3h 37m
jdhtmc.com,0,0,2015,17,-,registered,available,available,available,1,2,3,0 USD,22 USD,4,3h 56m
OpenHi.com,0,0,2007,19,-,registered,registered,registered,available,11,191,0,"2,641 USD",60 USD,4,4h 42m
BizQuote.com,2,0,2001,56,-,registered,registered,available,available,2,19,2,"2,734 USD",27 USD,4,5h 48m
ConexIonCentral.com,7.8 K,273,2001,195,-,registered,available,available,available,1,2,65,"1,219 USD",22 USD,4,5h 48m
VietnameseStudies.org,32,11,2011,111,-,registered,registered,registered,available,3,6,17,379 USD,25 USD,4,5h 51m
ys55.com,2,0,2004,74,-,registered,registered,available,available,0,118,33,"2,071 USD",25 USD,4,6h 26m
DancingPinesDistillery.com,329,37,2010,186,-,registered,available,available,available,1,2,4,557 USD,30 USD,4,6h 42m
MacSuzie.com,139,9,2014,64,-,registered,available,available,available,1,2,1.5 K,"1,024 USD",25 USD,4,6h 53m
artxp.com,30,4,2003,146,-,registered,registered,registered,registered,15,109,39,"3,298 USD",25 USD,4,7h 30m
zycpw118.com,0,0,-,0,-,registered,available,available,available,1,2,41,0 USD,30 USD,4,8h 9m
metroplatingaz.com,33,3,2010,55,-,registered,available,available,available,2,2,65,"1,180 USD",27 USD,4,8h 26m
thaarchitecture.com,260,19,2011,117,-,registered,registered,available,available,2,4,0,"1,255 USD",30 USD,4,8h 42m
ErinJohnson.com,0,0,2001,17,-,registered,available,registered,available,10,42,4,"2,542 USD",27 USD,4,8h 43m
24510.com,1,0,2001,79,-,registered,registered,available,available,3,13,13,"1,431 USD",30 USD,3,3h 35m
PantEon-Finance.com,6.8 K,268,-,0,-,registered,available,available,available,2,4,59,912 USD,22 USD,3,3h 38m
molinostaqueria.com,20,2,2021,5,-,registered,available,available,available,1,2,165,937 USD,65 USD,3,3h 39m
UnderTheVolcanoBooks.com,64,15,2011,95,-,registered,available,available,available,1,2,295,551 USD,135 USD,3,3h 45m
MindGravity.com,71,0,2004,19,-,registered,registered,available,available,3,6,0,"2,025 USD",22 USD,3,3h 52m
CroftMiddle.com,85,1,2020,6,-,registered,available,available,available,1,2,178,"1,030 USD",135 USD,3,4h 13m
youmoguoji.com,1,0,2022,1,-,registered,available,available,available,1,2,176,"1,106 USD",61 USD,3,4h 18m
SantosMassage.com,0,0,2021,2,-,registered,available,available,available,1,4,274,"1,021 USD",86 USD,3,4h 22m
kjautodetroit.com,9,0,2021,5,-,registered,available,available,available,1,2,85,435 USD,27 USD,3,4h 32m
lepommier.net,168,24,2001,214,Yes,registered,registered,registered,available,18,33,80,885 USD,20 USD,3,4h 39m
Garcinia.org,29,10,2011,43,-,registered,registered,registered,registered,46,1.3 K,0,"3,401 USD",20 USD,3,4h 44m
miskeenoriginals.com,699,8,2002,282,-,registered,registered,registered,available,5,6,33,"1,078 USD",17 USD,3,4h 49m
CountryBoardingKennels.net,12,1,2010,61,-,registered,registered,registered,available,4,7,63,137 USD,27 USD,3,4h 58m
baddberryy.com,0,0,2020,2,-,registered,available,available,available,1,2,248,478 USD,22 USD,3,5h 19m
imagenesquesemueven.com,78,1,2014,34,-,registered,available,available,available,1,2,458,273 USD,20 USD,3,5h 32m
bornfreerv.com,246,14,-,0,Yes,registered,available,available,available,1,5,119,883 USD,20 USD,3,5h 34m
antiquesmallcy.com,8,0,2021,2,-,registered,available,available,available,1,2,272,642 USD,21 USD,3,5h 50m
fsqixing.com,2,0,2012,19,-,registered,available,available,available,1,2,7,"1,756 USD",17 USD,3,5h 50m
segesmhc.com,2,0,2021,2,-,registered,available,available,available,1,2,61,659 USD,32 USD,3,6h 5m
EcoLawnSprinklers.com,32,1,2008,78,-,registered,registered,available,available,3,5,54,"1,340 USD",40 USD,3,6h 40m
xmspace.com,0,0,2001,54,-,registered,registered,available,available,3,7,0,"2,027 USD",17 USD,3,6h 45m
kedaunghome.com,78,1,2016,101,-,registered,available,available,available,1,2,799,443 USD,22 USD,3,6h 59m
BeRitaForex.com,673,231,2007,157,-,registered,registered,available,available,3,2,1.7 K,"2,085 USD",22 USD,3,7h 6m
GoodInklings.com,3.5 K,5,2013,174,-,registered,available,available,available,1,2,9,"1,090 USD",18 USD,3,7h 9m
sisomaru.com,64,16,-,0,Yes,registered,available,available,available,1,2,100,888 USD,41 USD,3,7h 13m
SnowConnection.com,33,9,1998,118,-,registered,available,available,available,3,4,0,"1,942 USD",28 USD,3,7h 14m
BasicHaircareSystems.com,13,0,2014,51,-,registered,registered,registered,available,4,8,139,845 USD,31 USD,3,7h 14m
survaider.com,282,14,2014,113,-,registered,available,available,available,1,2,59,"1,103 USD",20 USD,3,7h 30m
77097.com,3,0,2011,17,-,registered,registered,available,available,6,24,7,"1,333 USD",62 USD,3,7h 45m
mt-guide.com,9.5 K,223,2002,51,-,registered,available,available,available,2,5,9,898 USD,20 USD,3,7h 48m
SuperstarBud.com,1,1,2021,2,-,registered,available,available,available,1,3,280,"1,108 USD",25 USD,3,7h 48m
MixingSolutions.com,988,3,2002,117,-,registered,available,available,registered,2,11,45,"2,461 USD",17 USD,3,7h 50m
TrangVietCuisineTampa.com,19,0,2021,2,-,registered,available,available,available,1,2,75,138 USD,23 USD,3,8h 18m
SportsFreeLive.com,8,1,2018,8,-,registered,available,available,available,1,3,96,"1,292 USD",20 USD,3,8h 22m
tryapexxtrm.com,0,0,2021,2,-,registered,available,available,available,1,2,20,225 USD,20 USD,3,8h 23m
SissyChatting.com,44,3,2017,42,-,registered,available,available,available,1,2,91,752 USD,44 USD,3,8h 26m
GambleChiropracticClinic.com,33,1,2010,58,-,registered,available,available,available,1,2,80,761 USD,41 USD,3,8h 26m
JoesDinErma.com,4,1,2020,11,-,registered,available,available,available,1,2,102,813 USD,80 USD,3,8h 37m
technicalb9t.com,6,0,2021,2,-,registered,available,available,available,1,2,352,313 USD,33 USD,3,8h 39m
rancholl.org,12,0,2015,25,-,available,available,registered,available,1,7,363,478 USD,135 USD,3,8h 46m
blendzbarber.com,7,0,2021,1,-,registered,available,available,available,1,7,61,813 USD,27 USD,3,8h 52m
fastcdn.org,1.1 K,0,2011,241,-,registered,registered,registered,registered,49,64,0,"1,507 USD",15 USD,2,3h 34m
TaraMobileCrechesPune.org,62,8,2015,61,-,available,available,registered,available,1,2,23,47 USD,15 USD,2,3h 41m
PluginWarriors.com,66,3,2020,14,-,registered,available,available,available,1,2,17,"1,093 USD",17 USD,2,3h 54m
HelpMeToSurvive.com,1,0,2010,18,-,registered,available,available,available,1,2,0,"1,185 USD",15 USD,2,3h 56m
blagoslovennya.org,31,4,-,0,Yes,available,available,registered,available,2,2,0,52 USD,15 USD,2,4h 4m
cssmaster.com,0,0,2005,34,-,registered,available,available,available,2,7,24,"1,305 USD",15 USD,2,4h 10m
op-poker.com,72,4,2017,25,-,registered,available,available,available,1,10,139,981 USD,15 USD,2,4h 19m
iptolocationlookup.com,2.5 K,6,2021,9,-,registered,available,available,available,1,2,90,130 USD,15 USD,2,4h 23m
withktsy.com,2.0 K,21,2019,63,-,registered,available,available,available,1,2,0,691 USD,15 USD,2,4h 32m
LittleGreenNumber.com,32,9,2013,68,-,registered,available,available,available,2,2,26,931 USD,15 USD,2,4h 50m
auciel.com,1,0,2004,31,-,registered,registered,available,available,5,57,4,"2,778 USD",17 USD,2,4h 53m
WowPacks.com,19,1,2013,26,-,registered,available,available,available,4,2,2,"2,558 USD",15 USD,2,5h 20m
NonstopMetropolis.com,262,16,2018,16,-,registered,available,available,available,1,2,28,746 USD,15 USD,2,5h 32m
modaone.com,0,0,2001,33,-,registered,available,registered,registered,20,5,0,"3,474 USD",17 USD,2,5h 34m
ShelterAnimalResearch.com,71,2,2018,13,-,registered,available,available,available,1,2,180,947 USD,15 USD,2,5h 54m
MusicEmpire.info,36,0,2020,5,-,registered,registered,available,registered,14,56,20,13 USD,15 USD,2,6h 4m
stgree.net,203,11,2016,104,-,registered,registered,available,available,3,21,146,258 USD,15 USD,2,6h 10m
jsasgk.com,0,1,2017,12,-,registered,available,available,available,2,2,8,0 USD,15 USD,2,6h 21m
chim-chiminey.com,44,0,2011,39,-,registered,available,available,available,1,3,319,112 USD,15 USD,2,6h 29m
cp996.com,0,0,2006,37,-,registered,available,available,available,2,47,4,"1,616 USD",15 USD,2,6h 38m
tamilrasigan.com,55,0,2007,181,-,registered,registered,registered,available,10,8,335,"3,042 USD",15 USD,2,6h 39m
barakabeachclub.com,3,0,2016,3,-,registered,available,available,available,1,2,35,"1,133 USD",15 USD,2,6h 42m
AnimeCharm.net,86,0,2021,11,-,registered,registered,available,available,2,6,0,61 USD,15 USD,2,6h 43m
OneTravelResorts.com,0,0,2021,3,-,registered,available,available,available,1,1,0,"1,091 USD",15 USD,2,6h 45m
ManateeArts.org,86,9,2002,73,-,available,available,registered,available,1,2,13,573 USD,17 USD,2,7h 9m
FallingUpLives.com,119,8,2010,190,-,registered,available,available,available,1,2,2,"1,068 USD",15 USD,2,7h 9m
aiktt.com,338,2,2017,65,-,registered,registered,available,available,2,7,0,"2,382 USD",15 USD,2,7h 10m
lepoglava.net,167,17,2007,189,-,registered,registered,available,available,5,11,92,139 USD,15 USD,2,7h 12m
mdbba02.com,2.6 K,0,2021,7,-,registered,available,available,available,2,2,59,0 USD,15 USD,2,7h 13m
ttxs.org,0,0,2006,19,-,registered,registered,registered,registered,33,273,35,953 USD,15 USD,2,7h 31m
trans-dyf.com,4,0,2011,15,-,registered,available,available,available,1,2,4,188 USD,15 USD,2,7h 35m
RadioHaitiLives.com,81,15,2015,72,-,registered,available,available,available,1,2,480,541 USD,15 USD,2,7h 36m
yosoyantonieta.com,7,0,2016,35,-,registered,available,available,available,1,2,22,330 USD,15 USD,2,7h 44m
NongShunanExpress.com,42,1,2007,62,-,registered,available,available,available,1,4,128,216 USD,15 USD,2,7h 45m
DevelopersMetaVerse.com,0,0,2021,1,-,registered,available,available,available,3,2,0,"2,128 USD",17 USD,2,7h 48m
zycpw198.com,0,0,-,0,-,registered,available,available,available,1,2,67,0 USD,15 USD,2,8h 14m
zycpw333.com,0,0,2021,2,-,registered,available,available,available,1,2,72,0 USD,15 USD,2,8h 33m
astrakai.com,0,0,2021,1,-,registered,available,available,available,1,2,0,"1,274 USD",12 USD,1,3h 32m
ero-mu.com,30.3 K,15,2006,224,-,registered,available,available,available,1,13,0,0 USD,10 USD,1,3h 32m
WineGardenInn.com,1.0 K,18,2016,57,-,registered,available,available,available,1,2,24,"1,034 USD",12 USD,1,3h 32m
cmiabasto.com,9,0,2009,53,-,registered,available,available,available,1,2,17,535 USD,10 USD,1,3h 33m
RuneBridge.org,14,2,2021,12,-,registered,available,registered,available,2,5,0,876 USD,10 USD,1,3h 33m
1039881.com,0,0,2021,2,-,registered,available,available,available,1,2,2,18 USD,10 USD,1,3h 33m
WorldyProducts.com,28,0,-,0,-,registered,available,available,available,1,3,2,"1,351 USD",10 USD,1,3h 34m
tamlyplus.com,65,0,-,0,-,registered,available,available,available,1,2,0,943 USD,10 USD,1,3h 35m
CricKen.info,0,0,2021,1,-,registered,available,available,available,3,18,0,2 USD,10 USD,1,3h 35m
FourPawSandaCause.com,99,0,2017,31,-,registered,available,available,available,1,2,0,453 USD,10 USD,1,3h 35m
md-rasate.com,3,0,2021,3,-,registered,available,available,available,1,2,7,229 USD,10 USD,1,3h 35m
nominexmalaysia.com,41.1 K,0,2021,8,-,registered,available,available,available,2,4,15,250 USD,10 USD,1,3h 35m
ThatGayMovie.com,56,5,2009,100,-,registered,available,available,available,1,2,0,"1,098 USD",10 USD,1,3h 35m
bignlittleshoes.com,28,1,2005,63,-,registered,available,available,available,1,3,33,302 USD,10 USD,1,3h 36m
JesusChristDaily.com,0,0,2011,15,-,registered,available,registered,available,2,4,0,"1,556 USD",12 USD,1,3h 36m
SublimeDesContos.com,0,0,2021,3,-,registered,available,available,available,1,2,13,466 USD,10 USD,1,3h 36m
bante-mx.com,0,0,2021,2,-,registered,available,available,available,1,2,2,0 USD,10 USD,1,3h 36m
model3dpuzzle.com,2,0,-,0,-,registered,available,available,available,1,2,138,526 USD,10 USD,1,3h 38m
CryptoBaseballNft.com,0,0,-,0,-,registered,available,available,available,1,2,4,355 USD,10 USD,1,3h 38m
NotJustSpoiled.com,0,0,2021,2,-,registered,available,available,available,1,2,2,"1,080 USD",12 USD,1,3h 39m
stok8.com,0,0,2011,9,-,registered,available,available,available,1,4,2,"1,300 USD",10 USD,1,3h 39m
simplureph.com,8,16,2020,8,-,registered,available,available,available,1,2,105,380 USD,10 USD,1,3h 39m
PunTacana-PartyBuggy.com,212,0,2020,6,-,registered,available,available,available,1,2,0,22 USD,10 USD,1,3h 39m
MotorbikeMondays.com,45,1,2014,77,-,registered,available,available,available,1,2,11,"1,034 USD",10 USD,1,3h 39m
janbroussard.com,38,2,2011,19,-,registered,available,available,available,1,2,126,784 USD,10 USD,1,3h 40m
WonderLifeOfSara.com,37,3,2017,52,-,registered,available,available,available,1,2,60,467 USD,10 USD,1,3h 40m
friendsofac.org,18,3,2012,75,-,available,available,registered,available,1,38,37,517 USD,10 USD,1,3h 40m
fasdfan.info,0,0,2021,2,-,available,available,available,available,1,2,7,3 USD,10 USD,1,3h 41m
karthiclabs.com,0,0,2021,4,-,registered,available,available,available,1,2,6,473 USD,10 USD,1,3h 41m
LamiaRoma.org,4,0,2011,72,-,registered,available,registered,available,3,5,0,282 USD,10 USD,1,3h 42m
FlappyOwls.com,32,0,2021,3,-,registered,available,available,available,1,2,0,"1,061 USD",10 USD,1,3h 42m
